latitude ,longitude ,name,address
40.86387979,-73.8782681,New York Botanical Garden,200th Street and Kazimiroff Blvd
40.66731538,-73.96340682,Brooklyn Botanic Garden,1000 Washington Ave
40.75045693,-73.82957497,Queens Botanical Garden,43-50 Main Street
40.64510127,-74.10455649,Snug Harbor Cultural Center and Botanical Garden,1000 Richmond Terrace
